X (meters),Y (meters),Wall Info
56.17415609955788,15.211733832024038,Right
55.481597473844886,11.760639261454344,Right
64.09396457672119,12.859127751085907,Left
64.32479110732675,8.899797366466373,Left
50.75271433591843,8.207589395344257,Right
49.86269385740161,0.48280710307881236,Left
36.980738930404186,10.59461880242452,Right
31.116317950189114,4.690088295843452,Left
9.219864279031754,44.60405462048948,Right
0.7164600342512131,41.94617487443611,Left
12.635022692382336,46.55456245597452,Right
19.609222184866667,51.65848652506247,Left
35.29735780134797,18.347460286226124,Right
40.11098067462444,24.100547305308282,Left
52.12671300210059,27.79777594935149,Right
44.276374565437436,25.628677822183818,Left
26.02821572124958,59.65871219942346,Right
21.49643487110734,54.50613928679377,Left
17.709427060559392,62.23197132255882,Right
8.446383060887456,61.86123066395521,Left
24.542444493621588,69.2279304373078,Right
43.05811966210604,68.00013879267499,Left
75.34286925569177,34.647306519094855,Right
67.93065539374948,27.948011621367186,Left
55.20424273982644,26.74808992445469,Right
63.129130721092224,26.337778526358306,Left
9.924143735319376,54.76409660372883,Left
2.60753439553082,51.42932978691533,Left
12.460039585828781,57.41718627279624,Left
9.467042529955506,69.81285424856469,Left
20.613563330844045,76.29052873933688,Left
63.10835293866694,77.36329129431397,Left
74.28083455748856,65.24234423646703,Left
62.32595948316157,50.05418119300157,Left
75.82227554731071,59.324319581501186,Left
92.641407167539,45.983939859550446,Left
66.78988219425082,58.21376071870327,Left
49.97405898757279,53.72318478021771,Left
61.56946228072047,46.84692751383409,Left
49.29153470136225,50.55852973135188,Left
90.13419723697007,34.478955826722085,Left
82.93876027315855,29.298260271083564,Left
79.10038074292243,27.297724343370646,Left
44.68304470553994,16.158336895983666,Right
52.10439900867641,20.95754723576829,Right
58.91364528238773,68.02846403745934,Right
52.76188531704247,60.58546811155975,Right
44.01465465128422,59.484904625453055,Right
39.1162530798465,51.62201492022723,Right
44.25141117349267,44.54150531254709,Right
62.46618641726673,39.58232329878956,Right
69.6653269790113,42.590690235141665,Right
62.848810432478786,65.27213333221152,Right
38.55271040275693,60.922858563717455,Right
32.19737937301397,62.6655095317401,Right
73.87912481836975,52.141791225411,Right
84.50346703827381,40.79622115707025,Right
65.13970098644495,35.443661666475236,Right
57.40472739562392,31.382574134040624,Right
0.07008118368685246,46.97639653459191,Left
0.8829739559441805,49.30955398734659,Left
0.0,44.27288692863658,Left
5.342534057796001,53.35599410068244,Left
3.4917495623230934,52.238780558574945,Left
7.629359224811196,54.293853017967194,Left
14.605462282896042,54.5435982956551,Left
12.214905159547925,54.74622982554138,Left
17.381625667214394,53.35387457720935,Left
43.050867199897766,23.567048645578325,Left
41.41291110031307,23.435158425942063,Left
44.09436274692416,24.402898835018277,Left
16.55696865171194,56.42730441689491,Left
13.88048630580306,56.994174433872104,Left
19.247457219287753,56.006605797447264,Left
9.821360224857926,59.04056731192395,Left
10.97941911034286,58.11157499300316,Left
8.619579490274191,60.60662771994248,Left
7.6690190192312,65.7219909792766,Left
7.816139971837401,63.28624259727076,Left
