X (meters),Y (meters),Wall Info
56.17415609955788,8.053195940796286,Right
64.09396457672119,5.700589859858155,Left
9.219864279031754,37.445516729261726,Right
0.7164600342512131,34.78763698320836,Left
12.635022692382336,39.39602456474677,Right
19.609222184866667,44.49994863383472,Left
35.29735780134797,11.188922394998372,Right
40.11098067462444,16.94200941408053,Left
52.12671300210059,20.639238058123738,Right
44.276374565437436,18.470139930956066,Left
26.02821572124958,52.50017430819571,Right
21.49643487110734,47.347601395566016,Left
17.709427060559392,55.07343343133107,Right
8.446383060887456,54.70269277272746,Left
24.542444493621588,62.06939254608005,Right
43.05811966210604,60.84160090144724,Left
75.34286925569177,27.488768627867103,Right
67.93065539374948,20.789473730139434,Left
55.20424273982644,19.589552033226937,Right
63.129130721092224,19.179240635130554,Left
9.924143735319376,47.60555871250108,Left
2.60753439553082,44.27079189568758,Left
12.460039585828781,50.25864838156849,Left
9.467042529955506,62.65431635733694,Left
20.613563330844045,69.13199084810913,Left
63.10835293866694,70.20475340308622,Left
74.28083455748856,58.08380634523928,Left
62.32595948316157,42.895643301773816,Left
75.82227554731071,52.165781690273434,Left
92.641407167539,38.825401968322694,Left
66.78988219425082,51.05522282747552,Left
49.97405898757279,46.564646888989955,Left
61.56946228072047,39.68838962260634,Left
49.29153470136225,43.39999184012413,Left
90.13419723697007,27.320417935494334,Left
82.93876027315855,22.13972237985581,Left
79.10038074292243,20.139186452142894,Left
44.68304470553994,8.999799004755914,Right
52.10439900867641,13.799009344540536,Right
58.91364528238773,60.86992614623159,Right
52.76188531704247,53.426930220332,Right
44.01465465128422,52.3263667342253,Right
39.1162530798465,44.46347702899948,Right
44.25141117349267,37.382967421319336,Right
62.46618641726673,32.42378540756181,Right
69.6653269790113,35.43215234391391,Right
62.848810432478786,58.11359544098377,Right
38.55271040275693,53.7643206724897,Right
32.19737937301397,55.50697164051235,Right
73.87912481836975,44.983253334183246,Right
84.50346703827381,33.6376832658425,Right
65.13970098644495,28.285123775247484,Right
57.40472739562392,24.224036242812872,Right
0.07008118368685246,39.81785864336416,Left
0.8829739559441805,42.15101609611884,Left
0.0,37.11434903740883,Left
5.342534057796001,46.197456209454685,Left
3.4917495623230934,45.08024266734719,Left
7.629359224811196,47.13531512673944,Left
14.605462282896042,47.38506040442735,Left
12.214905159547925,47.587691934313625,Left
17.381625667214394,46.1953366859816,Left
43.050867199897766,16.408510754350573,Left
41.41291110031307,16.27662053471431,Left
44.09436274692416,17.244360943790525,Left
16.55696865171194,49.26876652566716,Left
13.88048630580306,49.83563654264435,Left
19.247457219287753,48.84806790621951,Left
9.821360224857926,51.8820294206962,Left
10.97941911034286,50.95303710177541,Left
8.619579490274191,53.44808982871473,Left
7.6690190192312,58.563453088048846,Left
7.816139971837401,56.127704706043005,Left
8.007633985951543,60.728618297725916,Left
14.941973311826587,66.32954604364932,Left
11.806645380333066,64.36701681697741,Left
17.73107758536935,67.93177638016641,Left
34.25038463063538,65.73535599838942,Left
27.466425692662597,69.4764300500974,Left
38.49244648590684,60.885334989987314,Left
23.600279740989208,69.77423195168376,Left
30.776588674634695,68.3677814300172,Left
36.545694567263126,63.02898214198649,Left
40.42345670983195,60.459154998417944,Left
44.71269465237856,61.64469199068844,Left
54.74685321375728,67.25708675803617,Left
57.727458184584975,68.80444103851914,Left
45.735844334587455,62.38790098624304,Left
70.29998277500272,64.75848850421607,Left
67.3324133194983,68.27372536575422,Left
