X (meters),Y (meters)
56.17415609955788,15.211733832024038
55.481597473844886,11.760639261454344
64.09396457672119,12.859127751085907
64.32479110732675,8.899797366466373
50.75271433591843,8.207589395344257
49.86269385740161,0.48280710307881236
36.980738930404186,10.59461880242452
31.116317950189114,4.690088295843452
9.219864279031754,44.60405462048948
0.7164600342512131,41.94617487443611
12.635022692382336,46.55456245597452
19.609222184866667,51.65848652506247
35.29735780134797,18.347460286226124
40.11098067462444,24.100547305308282
52.12671300210059,27.79777594935149
44.276374565437436,25.628677822183818
26.02821572124958,59.65871219942346
21.49643487110734,54.50613928679377
17.709427060559392,62.23197132255882
8.446383060887456,61.86123066395521
24.542444493621588,69.2279304373078
43.05811966210604,68.00013879267499
75.34286925569177,34.647306519094855
67.93065539374948,27.948011621367186
55.20424273982644,26.74808992445469
63.129130721092224,26.337778526358306
9.924143735319376,54.76409660372883
2.60753439553082,51.42932978691533
12.460039585828781,57.41718627279624
9.467042529955506,69.81285424856469
20.613563330844045,76.29052873933688
63.10835293866694,77.36329129431397
74.28083455748856,65.24234423646703
62.32595948316157,50.05418119300157
75.82227554731071,59.324319581501186
92.641407167539,45.983939859550446
66.78988219425082,58.21376071870327
49.97405898757279,53.72318478021771
61.56946228072047,46.84692751383409
49.29153470136225,50.55852973135188
90.13419723697007,34.478955826722085
82.93876027315855,29.298260271083564
79.10038074292243,27.297724343370646
44.68304470553994,16.158336895983666
52.10439900867641,20.95754723576829
58.91364528238773,68.02846403745934
52.76188531704247,60.58546811155975
44.01465465128422,59.484904625453055
39.1162530798465,51.62201492022723
44.25141117349267,44.54150531254709
62.46618641726673,39.58232329878956
69.6653269790113,42.590690235141665
62.848810432478786,65.27213333221152
38.55271040275693,60.922858563717455
32.19737937301397,62.6655095317401
73.87912481836975,52.141791225411
84.50346703827381,40.79622115707025
65.13970098644495,35.443661666475236
57.40472739562392,31.382574134040624
0.07008118368685246,46.97639653459191
0.8829739559441805,49.30955398734659
0.0,44.27288692863658
5.342534057796001,53.35599410068244
3.4917495623230934,52.238780558574945
7.629359224811196,54.293853017967194
14.605462282896042,54.5435982956551
12.214905159547925,54.74622982554138
17.381625667214394,53.35387457720935
43.050867199897766,23.567048645578325
41.41291110031307,23.435158425942063
44.09436274692416,24.402898835018277
16.55696865171194,56.42730441689491
13.88048630580306,56.994174433872104
19.247457219287753,56.006605797447264
9.821360224857926,59.04056731192395
10.97941911034286,58.11157499300316
8.619579490274191,60.60662771994248
7.6690190192312,65.7219909792766
7.816139971837401,63.28624259727076
8.007633985951543,67.88715618895367
14.941973311826587,73.48808393487707
11.806645380333066,71.52555470820516
17.73107758536935,75.09031427139416
34.25038463063538,72.89389388961717
27.466425692662597,76.63496794132516
38.49244648590684,68.04387288121507
23.600279740989208,76.93276984291151
30.776588674634695,75.52631932124496
36.545694567263126,70.18752003321424
40.42345670983195,67.6176928896457
44.71269465237856,68.8032298819162
54.74685321375728,74.41562464926392
57.727458184584975,75.9629789297469
45.735844334587455,69.54643887747079
70.29998277500272,71.91702639544383
67.3324133194983,75.43226325698197
73.54942097328603,67.64026736980304
71.14107054658234,60.679455156903714
73.29838327877223,62.91871684603393
68.95323289558291,59.31776731554419
58.26047371700406,54.65097262430936
53.12890011258423,54.205634547863156
62.70950633473694,56.25814331928268
48.55338294990361,52.403779421932995
48.764120765030384,52.96805012738332
48.831426756456494,51.03602244146168
55.604849303141236,48.65958063164726
51.12000075355172,50.14174844417721
59.58537380769849,47.474203939083964
63.586578130722046,48.231076288968325
63.041628032922745,47.397863258142024
63.264720087870955,49.33513631904498
67.86214047297835,57.22749118087813
63.32546490803361,54.753195085097104
71.33120646327734,58.86689888779074
87.08044756948948,51.14571889396757
83.67285777069628,55.26571892667562
88.29376990906894,49.44989669509232
80.96816483512521,58.15393539844081
89.93419062159956,48.09099963353947
85.54140662774444,53.033454780932516
91.61025027185678,38.42785000987351
92.48576582036912,41.99871990038082
91.34779898449779,36.6536711351946
84.8051473069936,30.400264231022447
87.99457094818354,32.038345009088516
80.62385031208396,28.10490419762209
